State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor Vehicle Theft,Arson
COLORADO,GREELEY,2018,107325,210.0,1.0,44.0,30.0,135.0,1312.0,183.0,989.0,140.0,11.0
COLORADO,GREELEY,2019,107325,190.0,1.0,34.0,36.0,119.0,1218.0,184.0,905.0,129.0,13.0
COLORADO,THORNTON,2018,139697,192.0,1.0,64.0,45.0,82.0,2279.0,234.0,1660.0,385.0,13.0
COLORADO,THORNTON,2019,139697,172.0,0.0,49.0,30.0,93.0,2253.0,176.0,1546.0,531.0,8.0
COLORADO,WESTMINSTER,2018,113751,174.0,7.0,30.0,41.0,96.0,1760.0,152.0,1293.0,315.0,15.0
COLORADO,WESTMINSTER,2019,113751,134.0,1.0,24.0,36.0,73.0,1683.0,193.0,1202.0,288.0,2.0
COLORADO,DENVER,2019,720745,2452.0,28.0,333.0,554.0,1537.0,12732.0,1717.0,8436.0,2579.0,50.0
COLORADO,FORT COLLINS,2019,168163,160.0,1.0,17.0,17.0,125.0,1693.0,183.0,1414.0,96.0,5.0
CONNECTICUT,BRIDGEPORT,2018,146819,474.0,5.0,34.0,146.0,289.0,1495.0,253.0,933.0,309.0,9.0
CONNECTICUT,BRIDGEPORT,2019,146819,400.0,9.0,40.0,155.0,196.0,1129.0,274.0,605.0,250.0,9.0
CONNECTICUT,HARTFORD,2018,123117,681.0,13.0,24.0,179.0,465.0,2311.0,332.0,1572.0,407.0,38.0
CONNECTICUT,HARTFORD,2019,123117,505.0,11.0,12.0,105.0,377.0,1644.0,181.0,1238.0,225.0,24.0
CONNECTICUT,STAMFORD,2018,132007,107.0,2.0,13.0,26.0,66.0,1097.0,114.0,854.0,129.0,3.0
CONNECTICUT,STAMFORD,2019,132007,107.0,2.0,11.0,38.0,56.0,850.0,104.0,678.0,68.0,1.0
CONNECTICUT,WATERBURY,2018,108378,241.0,3.0,32.0,97.0,109.0,2077.0,281.0,1393.0,403.0,6.0
CONNECTICUT,WATERBURY,2019,108378,143.0,1.0,20.0,56.0,66.0,1640.0,196.0,1110.0,334.0,7.0
FLORIDA,BOCA RATON,2019,100162,92.0,0.0,20.0,34.0,38.0,1038.0,110.0,851.0,77.0,5.0
FLORIDA,CAPE CORAL,2018,187869,123.0,0.0,6.0,28.0,89.0,1369.0,202.0,1084.0,83.0,1.0
FLORIDA,CLEARWATER,2018,116504,267.0,2.0,53.0,59.0,153.0,1680.0,185.0,1394.0,101.0,4.0
FLORIDA,CLEARWATER,2019,116504,219.0,0.0,25.0,48.0,146.0,1383.0,137.0,1163.0,83.0,3.0
FLORIDA,CORAL SPRINGS,2018,134640,82.0,0.0,14.0,29.0,39.0,1035.0,104.0,855.0,76.0,1.0
FLORIDA,CORAL SPRINGS,2019,134640,94.0,0.0,24.0,29.0,41.0,1083.0,83.0,918.0,82.0,2.0
FLORIDA,DAVIE,2018,107120,137.0,0.0,16.0,35.0,86.0,1374.0,107.0,1134.0,133.0,1.0
FLORIDA,DAVIE,2019,107120,126.0,1.0,9.0,29.0,87.0,1389.0,110.0,1135.0,144.0,8.0
FLORIDA,CAPE CORAL,2019,187869,105.0,1.0,2.0,16.0,86.0,1103.0,147.0,865.0,91.0,4.0
FLORIDA,JACKSONVILLE,2018,903213,2766.0,55.0,289.0,674.0,1748.0,15404.0,2458.0,11465.0,1481.0,45.0
FLORIDA,GAINESVILLE,2018,133400,501.0,4.0,74.0,113.0,310.0,2532.0,272.0,2087.0,173.0,5.0
FLORIDA,GAINESVILLE,2019,133400,445.0,1.0,80.0,81.0,283.0,2272.0,245.0,1832.0,195.0,2.0
FLORIDA,HIALEAH,2018,241778,281.0,1.0,18.0,84.0,178.0,2686.0,213.0,2094.0,379.0,1.0
